
CAPPROD mensa                                                            capprod2         BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 18:31:17 18:34:28       17,22      17,22 SBT_TAPE                    3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
sjriopreto ABNRPSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:03:22 06:03:23         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
sjriopreto ABNRPSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:03:21 06:03:22         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
sjriopreto ABNRPSRV01                                                       cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:03 06:03:21        1,13       14,5 DISK                        3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       


tatui VLDTATSRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 18:05:14 18:05:14           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
tatui VLDTATSRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 18:05:03 18:05:05           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
tatui VLDTATSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 18:05:02 18:05:03         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
tatui VLDTATSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 18:05:00 18:05:02         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
tatui VLDTATSRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 18:00:03 18:05:00        1,92       9,39 DISK                        5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            


ademar ABNCADSRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 06:03:47 06:05:04         ,53       1,57 DISK                        1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ademar ABNCADSRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:03:44 06:03:46           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ademar ABNCADSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:03:43 06:03:44         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ademar ABNCADSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:03:42 06:03:43         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ademar ABNCADSRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:04 06:03:42        1,43       9,14 DISK                        4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           


não há linhas selecionadas


campshop ABNCSSRV01                                                       cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 18:08:05 18:08:08           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
campshop ABNCSSRV01                                                       cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 18:07:22 18:07:24           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
campshop ABNCSSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 18:07:21 18:07:22         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
campshop ABNCSSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 18:07:20 18:07:21         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
campshop ABNCSSRV01                                                       cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 18:00:02 18:07:20        3,14      13,76 DISK                        7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         


aracatuba VLDARCSRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 18:05:06 18:07:45        1,09       3,19 DISK                        3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
aracatuba VLDARCSRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 18:05:03 18:05:05           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
aracatuba VLDARCSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 18:05:02 18:05:03         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
aracatuba VLDARCSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 18:05:00 18:05:02         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
aracatuba VLDARCSRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 18:00:03 18:05:00        1,94       9,46 DISK                        5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        


araraguara ABNARASRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 06:05:57 06:05:58           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
araraguara ABNARASRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:05:55 06:05:57           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
araraguara ABNARASRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:05:53 06:05:55         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
araraguara ABNARASRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:05:52 06:05:53         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
araraguara ABNARASRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:04 06:05:52        1,89       9,36 DISK                        6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       


marilia VLDMARSRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 20:01:49 20:01:51           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
marilia VLDMARSRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 20:01:11 20:01:49         ,21         ,6 DISK                        1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
marilia VLDMARSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 20:00:59 20:01:00         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
marilia VLDMARSRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 20:00:01 20:00:59         ,01       8,28 DISK                        1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
marilia VLDMARSRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 06:05:02 06:05:02           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
marilia VLDMARSRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:04:33 06:04:35           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
marilia VLDMARSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:31 06:04:33         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
marilia VLDMARSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:30 06:04:31         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
marilia VLDMARSRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:03 06:04:30        1,74       8,28 DISK                        4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          

9 linhas selecionadas.


mogi VLDMGCSRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 06:04:37 06:04:37           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
mogi VLDMGCSRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:04:35 06:04:37           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
mogi VLDMGCSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:33 06:04:35         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
mogi VLDMGCSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:04:32 06:04:33         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
mogi VLDMGCSRV01                                                      cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:03 06:04:32        1,49      14,45 DISK                        4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             


lapa VLDLAPSRV01                                                      cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 18:07:17 18:07:17           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
lapa VLDLAPSRV01                                                      cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 18:07:14 18:07:16           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
lapa VLDLAPSRV01                                                      cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 18:07:13 18:07:14         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
